locus_tag	ftype	length_bp	gene	EC_number	COG	product
CNBKHAJB_00033	rRNA	2894				23S ribosomal RNA
CNBKHAJB_00034	rRNA	115				5S ribosomal RNA
CNBKHAJB_00035	rRNA	115				5S ribosomal RNA
CNBKHAJB_00036	tRNA	85				tRNA-Tyr(gta)
CNBKHAJB_00037	CDS	1650				hypothetical protein
CNBKHAJB_00038	CDS	1251	rhlE_1	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
CNBKHAJB_00039	rRNA	1543				16S ribosomal RNA
CNBKHAJB_00040	tRNA	76				tRNA-Ala(tgc)
CNBKHAJB_00041	rRNA	2894				23S ribosomal RNA
CNBKHAJB_00042	rRNA	115				5S ribosomal RNA
CNBKHAJB_00043	rRNA	1545				16S ribosomal RNA
CNBKHAJB_00044	tRNA	76				tRNA-Ala(tgc)
CNBKHAJB_00045	rRNA	2894				23S ribosomal RNA
CNBKHAJB_00046	rRNA	115				5S ribosomal RNA
CNBKHAJB_00047	CDS	387				hypothetical protein
CNBKHAJB_00048	CDS	786	atpB		COG0356	ATP synthase subunit a
CNBKHAJB_00049	CDS	237	atpE			ATP synthase subunit c
CNBKHAJB_00050	CDS	471	atpF		COG0711	ATP synthase subunit b
CNBKHAJB_00051	CDS	534	atpH		COG0712	ATP synthase subunit delta
CNBKHAJB_00052	CDS	1542	atpA	7.1.2.2	COG0056	ATP synthase subunit alpha
CNBKHAJB_00053	CDS	864	atpG		COG0224	ATP synthase gamma chain
CNBKHAJB_00054	CDS	1386	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
CNBKHAJB_00055	CDS	423	atpC		COG0355	ATP synthase epsilon chain
CNBKHAJB_00056	CDS	912	thiK	2.7.1.89		Thiamine kinase
CNBKHAJB_00057	CDS	654	pnuC		COG3201	Nicotinamide riboside transporter PnuC
CNBKHAJB_00058	CDS	267				hypothetical protein
CNBKHAJB_00059	CDS	2181	iacT_1		COG4773	Iron and copper transporter IacT
CNBKHAJB_00060	CDS	3471	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
CNBKHAJB_00061	CDS	1536				hypothetical protein
CNBKHAJB_00062	CDS	207				hypothetical protein
CNBKHAJB_00063	CDS	1212	hemY		COG3071	Protein HemY
CNBKHAJB_00064	CDS	1404				hypothetical protein
CNBKHAJB_00065	CDS	846	hemD	4.2.1.75		Uroporphyrinogen-III synthase
CNBKHAJB_00066	CDS	954	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
CNBKHAJB_00067	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
CNBKHAJB_00068	CDS	339				hypothetical protein
CNBKHAJB_00069	CDS	831	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
CNBKHAJB_00070	CDS	714				hypothetical protein
CNBKHAJB_00071	CDS	774	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
CNBKHAJB_00072	CDS	2175	uvrD	5.6.2.4	COG0210	DNA helicase II
CNBKHAJB_00073	CDS	1260	rcsC_2	2.7.13.3		Sensor histidine kinase RcsC
CNBKHAJB_00074	CDS	903	rarD_1		COG2962	Protein RarD
CNBKHAJB_00075	CDS	1848	recQ	5.6.2.4	COG0514	ATP-dependent DNA helicase RecQ
CNBKHAJB_00076	CDS	108				hypothetical protein
CNBKHAJB_00077	CDS	2172		3.4.21.26	COG1505	Prolyl endopeptidase
CNBKHAJB_00078	CDS	2388				hypothetical protein
CNBKHAJB_00079	CDS	417				hypothetical protein
CNBKHAJB_00080	CDS	411				hypothetical protein
CNBKHAJB_00081	CDS	633				hypothetical protein
CNBKHAJB_00082	CDS	618				hypothetical protein
CNBKHAJB_00083	CDS	1782				hypothetical protein
CNBKHAJB_00084	CDS	621				hypothetical protein
CNBKHAJB_00085	CDS	969				hypothetical protein
CNBKHAJB_00086	CDS	1413	puuB_1	1.4.3.-	COG0665	Gamma-glutamylputrescine oxidoreductase
CNBKHAJB_00087	CDS	1476	gbsA	1.2.1.8	COG1012	Betaine aldehyde dehydrogenase
CNBKHAJB_00088	CDS	783				hypothetical protein
CNBKHAJB_00089	CDS	1497	bauC_1	1.2.1.27		Malonate-semialdehyde dehydrogenase
CNBKHAJB_00090	CDS	1338	bauA_1	2.6.1.18		Beta-alanine--pyruvate aminotransferase
CNBKHAJB_00091	CDS	921	metR_1		COG0583	HTH-type transcriptional regulator MetR
CNBKHAJB_00092	CDS	1110	spuD_1			Putrescine-binding periplasmic protein SpuD
CNBKHAJB_00093	CDS	930	mscS_1		COG0668	Small-conductance mechanosensitive channel
CNBKHAJB_00094	CDS	1170				hypothetical protein
CNBKHAJB_00095	CDS	666				hypothetical protein
CNBKHAJB_00096	CDS	864		3.1.26.-	COG1561	putative endoribonuclease YicC
CNBKHAJB_00097	CDS	930				hypothetical protein
CNBKHAJB_00098	CDS	168				hypothetical protein
CNBKHAJB_00099	CDS	1722	livQ	1.1.3.-		6'''-hydroxyparomomycin C oxidase
CNBKHAJB_00100	CDS	735				hypothetical protein
CNBKHAJB_00101	CDS	540	dsbD_1	1.8.1.8		Thiol:disulfide interchange protein DsbD
CNBKHAJB_00102	CDS	714	rph	2.7.7.56		Ribonuclease PH
CNBKHAJB_00103	CDS	666	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
CNBKHAJB_00104	CDS	1362				hypothetical protein
CNBKHAJB_00105	CDS	321				hypothetical protein
CNBKHAJB_00106	CDS	777	kdkA	2.7.1.166	COG3642	3-deoxy-D-manno-octulosonic acid kinase
CNBKHAJB_00107	CDS	1356	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
CNBKHAJB_00108	CDS	429	lrpA		COG1522	HTH-type transcriptional regulator LrpA
CNBKHAJB_00109	CDS	1209	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
CNBKHAJB_00110	CDS	1026	tdh_1	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
CNBKHAJB_00111	CDS	327	glpE_1	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
CNBKHAJB_00112	CDS	912	glpG	3.4.21.105	COG0705	Rhomboid protease GlpG
CNBKHAJB_00113	CDS	390				hypothetical protein
CNBKHAJB_00114	CDS	621	ubiC	4.1.3.40	COG3161	Chorismate pyruvate-lyase
CNBKHAJB_00115	CDS	864	ubiA	2.5.1.39	COG0382	4-hydroxybenzoate octaprenyltransferase
CNBKHAJB_00116	CDS	1812				hypothetical protein
CNBKHAJB_00117	CDS	1140				hypothetical protein
CNBKHAJB_00118	CDS	1089			COG4663	Monocarboxylate 2-oxoacid-binding periplasmic protein
CNBKHAJB_00119	CDS	522				hypothetical protein
CNBKHAJB_00120	CDS	1281	dctM_1			C4-dicarboxylate TRAP transporter large permease protein DctM
CNBKHAJB_00121	CDS	777				hypothetical protein
CNBKHAJB_00122	CDS	2436	plsB	2.3.1.15	COG2937	Glycerol-3-phosphate acyltransferase
CNBKHAJB_00123	CDS	474	labA		COG1432	Low amplitude and bright protein LabA
CNBKHAJB_00124	CDS	681				hypothetical protein
CNBKHAJB_00125	CDS	2160				hypothetical protein
CNBKHAJB_00126	CDS	699				Single-stranded DNA-binding protein
CNBKHAJB_00127	CDS	819	rsmJ	2.1.1.242		Ribosomal RNA small subunit methyltransferase J
CNBKHAJB_00128	CDS	1953				hypothetical protein
CNBKHAJB_00129	CDS	474		1.11.1.27	COG0678	Peroxiredoxin
CNBKHAJB_00130	CDS	528	ftnA	1.16.3.2	COG1528	putative bacterial non-heme ferritin
CNBKHAJB_00131	CDS	339	cpxR_1			Transcriptional regulatory protein CpxR
CNBKHAJB_00132	CDS	1518				hypothetical protein
CNBKHAJB_00133	CDS	1185	rdsA	1.3.1.-	COG2081	Ribosomal RNA dihydrouridine synthase
CNBKHAJB_00134	CDS	888				hypothetical protein
CNBKHAJB_00135	CDS	2007				hypothetical protein
CNBKHAJB_00136	CDS	606				hypothetical protein
CNBKHAJB_00137	CDS	1269				hypothetical protein
CNBKHAJB_00138	CDS	303				hypothetical protein
CNBKHAJB_00139	CDS	780				hypothetical protein
CNBKHAJB_00140	CDS	1821				hypothetical protein
CNBKHAJB_00141	CDS	636			COG3068	putative protein
CNBKHAJB_00142	CDS	1581	dap	3.4.11.19		D-aminopeptidase
CNBKHAJB_00143	CDS	549	ogt	2.1.1.63	COG0350	Methylated-DNA--protein-cysteine methyltransferase, constitutive
CNBKHAJB_00144	CDS	639	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
CNBKHAJB_00145	CDS	1446	ftsY_1	3.6.5.4	COG0552	Signal recognition particle receptor FtsY
CNBKHAJB_00146	CDS	708	ftsE		COG2884	Cell division ATP-binding protein FtsE
CNBKHAJB_00147	CDS	1017	ftsX		COG2177	Cell division protein FtsX
CNBKHAJB_00148	CDS	858	rpoH		COG0568	RNA polymerase sigma factor RpoH
CNBKHAJB_00149	CDS	2454	btuB_1			Vitamin B12 transporter BtuB
CNBKHAJB_00150	CDS	258	tatA_1		COG1826	Sec-independent protein translocase protein TatA
CNBKHAJB_00151	CDS	474	tatB_1			Sec-independent protein translocase protein TatB
CNBKHAJB_00152	CDS	768	tatC_1		COG0805	Sec-independent protein translocase protein TatC
CNBKHAJB_00153	CDS	492				hypothetical protein
CNBKHAJB_00154	CDS	828	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
CNBKHAJB_00155	CDS	882				hypothetical protein
CNBKHAJB_00156	CDS	1047	hemB	4.2.1.24		Delta-aminolevulinic acid dehydratase
CNBKHAJB_00157	CDS	648				hypothetical protein
CNBKHAJB_00158	CDS	570				hypothetical protein
CNBKHAJB_00159	CDS	303				hypothetical protein
CNBKHAJB_00160	CDS	993	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
CNBKHAJB_00161	CDS	1287	rhlB_1	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
CNBKHAJB_00162	CDS	327	trxA_1		COG3118	Thioredoxin 1
CNBKHAJB_00163	CDS	1260	rho_1	3.6.4.-	COG1158	Transcription termination factor Rho
CNBKHAJB_00164	CDS	1482	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
CNBKHAJB_00165	CDS	720	fre	1.5.1.-		NAD(P)H-flavin reductase
CNBKHAJB_00166	CDS	660	degU_1		COG2197	Transcriptional regulatory protein DegU
CNBKHAJB_00167	CDS	1464	pepD	3.4.13.18	COG2195	Cytosol non-specific dipeptidase
CNBKHAJB_00168	CDS	597	slmA_1		COG1309	Nucleoid occlusion factor SlmA
CNBKHAJB_00169	CDS	1212	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
CNBKHAJB_00170	CDS	495				hypothetical protein
CNBKHAJB_00171	CDS	1449				hypothetical protein
CNBKHAJB_00172	CDS	3321				hypothetical protein
CNBKHAJB_00173	CDS	696				hypothetical protein
CNBKHAJB_00174	CDS	480				hypothetical protein
CNBKHAJB_00175	CDS	2367	recD2_1	5.6.2.3	COG0507	ATP-dependent RecD2 DNA helicase
CNBKHAJB_00176	CDS	240				hypothetical protein
CNBKHAJB_00177	CDS	1239				hypothetical protein
CNBKHAJB_00178	CDS	264				hypothetical protein
CNBKHAJB_00179	CDS	870				hypothetical protein
CNBKHAJB_00180	CDS	681				hypothetical protein
CNBKHAJB_00181	CDS	438				hypothetical protein
CNBKHAJB_00182	CDS	141				hypothetical protein
CNBKHAJB_00183	CDS	309				hypothetical protein
CNBKHAJB_00184	CDS	510				hypothetical protein
CNBKHAJB_00185	CDS	405				hypothetical protein
CNBKHAJB_00186	CDS	2463				hypothetical protein
CNBKHAJB_00187	CDS	528				hypothetical protein
CNBKHAJB_00188	CDS	378				hypothetical protein
CNBKHAJB_00189	CDS	495				hypothetical protein
CNBKHAJB_00190	CDS	210				hypothetical protein
CNBKHAJB_00191	CDS	315				hypothetical protein
CNBKHAJB_00192	CDS	669	mcdA	3.6.4.-	COG1192	Maintenance of carboxysome distribution protein A
CNBKHAJB_00193	CDS	438				hypothetical protein
CNBKHAJB_00194	CDS	237	rpmB		COG0227	Large ribosomal subunit protein bL28
CNBKHAJB_00195	CDS	156	rpmG			Large ribosomal subunit protein bL33
CNBKHAJB_00196	CDS	501				hypothetical protein
CNBKHAJB_00197	CDS	816	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
CNBKHAJB_00198	CDS	471	coaD	2.7.7.3		Phosphopantetheine adenylyltransferase
CNBKHAJB_00199	CDS	657				hypothetical protein
CNBKHAJB_00200	CDS	1041				hypothetical protein
CNBKHAJB_00201	CDS	303				hypothetical protein
CNBKHAJB_00202	CDS	822	bioH	3.1.1.85	COG0596	Pimeloyl-[acyl-carrier protein] methyl ester esterase
CNBKHAJB_00203	CDS	783				hypothetical protein
CNBKHAJB_00204	CDS	2577				hypothetical protein
CNBKHAJB_00205	CDS	579	nfuA		COG0316	Fe/S biogenesis protein NfuA
CNBKHAJB_00206	CDS	273				hypothetical protein
CNBKHAJB_00207	CDS	363				hypothetical protein
CNBKHAJB_00208	CDS	282				hypothetical protein
CNBKHAJB_00209	CDS	159				hypothetical protein
CNBKHAJB_00210	CDS	1074				hypothetical protein
CNBKHAJB_00211	CDS	669				hypothetical protein
CNBKHAJB_00212	CDS	954	ctaB	2.5.1.141	COG0109	Protoheme IX farnesyltransferase
CNBKHAJB_00213	CDS	1062	ctaA	1.17.99.9	COG1612	Heme A synthase
CNBKHAJB_00214	CDS	636				hypothetical protein
CNBKHAJB_00215	CDS	819				hypothetical protein
CNBKHAJB_00216	CDS	885	ctaE_1	7.1.1.9		Cytochrome c oxidase subunit 3
CNBKHAJB_00217	CDS	570	ctaG		COG3175	Cytochrome c oxidase assembly protein CtaG
CNBKHAJB_00218	CDS	1623	ctaD	7.1.1.9	COG0843	Cytochrome c oxidase subunit 1
CNBKHAJB_00219	CDS	1560				hypothetical protein
CNBKHAJB_00220	CDS	636	lexA	3.4.21.88	COG1974	LexA repressor
CNBKHAJB_00221	CDS	3240	btuB_2			Vitamin B12 transporter BtuB
CNBKHAJB_00222	CDS	1605	sttH_1	1.14.19.59		Tryptophan 6-halogenase SttH
CNBKHAJB_00223	CDS	729				hypothetical protein
CNBKHAJB_00224	CDS	711				hypothetical protein
CNBKHAJB_00225	CDS	519				hypothetical protein
CNBKHAJB_00226	CDS	1038				hypothetical protein
CNBKHAJB_00227	CDS	1437	xylE		COG0477	D-xylose-proton symporter
CNBKHAJB_00228	CDS	1035	glk_1	2.7.1.2	COG0837	Glucokinase
CNBKHAJB_00229	CDS	597	ves		COG3758	Protein Ves
CNBKHAJB_00230	CDS	1977	thiC	4.1.99.17		Phosphomethylpyrimidine synthase
CNBKHAJB_00231	CDS	1182	mnmC_1	2.1.1.61		tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
CNBKHAJB_00232	CDS	213				hypothetical protein
CNBKHAJB_00233	CDS	798	thiG	2.8.1.10	COG2022	Thiazole synthase
CNBKHAJB_00234	CDS	1590	thiE	2.5.1.3		Thiamine-phosphate synthase
CNBKHAJB_00235	CDS	462				hypothetical protein
CNBKHAJB_00236	CDS	852				hypothetical protein
CNBKHAJB_00237	CDS	708	lipL_1	2.3.1.204		Lipoyl-[GcvH]:protein N-lipoyltransferase
CNBKHAJB_00238	CDS	588	resA_1			Thiol-disulfide oxidoreductase ResA
CNBKHAJB_00239	CDS	216				hypothetical protein
CNBKHAJB_00240	CDS	1488				hypothetical protein
CNBKHAJB_00241	CDS	681	gph_1	3.1.3.18	COG0546	Phosphoglycolate phosphatase
CNBKHAJB_00242	CDS	249				hypothetical protein
CNBKHAJB_00243	CDS	321				hypothetical protein
CNBKHAJB_00244	CDS	1632				hypothetical protein
CNBKHAJB_00245	CDS	324				hypothetical protein
CNBKHAJB_00246	CDS	759	yfcA_1		COG0730	putative membrane transporter protein YfcA
CNBKHAJB_00247	CDS	1728				hypothetical protein
CNBKHAJB_00248	CDS	1230				hypothetical protein
CNBKHAJB_00249	CDS	1356	dadD	3.5.4.31		5'-deoxyadenosine deaminase
CNBKHAJB_00250	CDS	996				hypothetical protein
CNBKHAJB_00251	CDS	297				hypothetical protein
CNBKHAJB_00252	CDS	621	ctaE_2	7.1.1.9	COG1845	putative cytochrome c oxidase subunit 3
CNBKHAJB_00253	CDS	1383				hypothetical protein
CNBKHAJB_00254	CDS	1425	norR_1			Anaerobic nitric oxide reductase transcription regulator NorR
CNBKHAJB_00255	CDS	978				hypothetical protein
CNBKHAJB_00256	CDS	2253	iorB	1.3.99.16		Isoquinoline 1-oxidoreductase subunit beta
CNBKHAJB_00257	CDS	546	iorA	1.3.99.16		Isoquinoline 1-oxidoreductase subunit alpha
CNBKHAJB_00258	CDS	657	glmU_1	2.7.7.23		Bifunctional protein GlmU
CNBKHAJB_00259	CDS	1044	pucA	1.17.1.4	COG1975	putative xanthine dehydrogenase subunit A
CNBKHAJB_00260	CDS	3108			COG3008	putative intermembrane transport protein
CNBKHAJB_00261	CDS	687	pqiA_1		COG2995	Intermembrane transport protein PqiA
CNBKHAJB_00262	CDS	663	letA		COG2995	Lipophilic envelope-spanning tunnel protein A
CNBKHAJB_00263	CDS	957				hypothetical protein
CNBKHAJB_00264	CDS	675	engB			putative GTP-binding protein EngB
CNBKHAJB_00265	CDS	1806		7.6.2.-		Putative multidrug export ATP-binding/permease protein
CNBKHAJB_00266	CDS	756				hypothetical protein
CNBKHAJB_00267	CDS	1101				hypothetical protein
CNBKHAJB_00268	CDS	3093	bepE_1			Efflux pump membrane transporter BepE
CNBKHAJB_00269	CDS	1137	mdtA_1		COG0845	Multidrug resistance protein MdtA
CNBKHAJB_00270	CDS	747				hypothetical protein
CNBKHAJB_00271	CDS	459	ysnE	2.3.1.-	COG0454	putative N-acetyltransferase YsnE
CNBKHAJB_00272	CDS	678				Cyclic di-GMP binding protein
CNBKHAJB_00273	CDS	393				hypothetical protein
CNBKHAJB_00274	CDS	816	ubiE_1	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
CNBKHAJB_00275	CDS	708	ubiJ			Ubiquinone biosynthesis accessory factor UbiJ
CNBKHAJB_00276	CDS	1569	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
CNBKHAJB_00277	CDS	609				hypothetical protein
CNBKHAJB_00278	CDS	2034	rep_1	5.6.2.4	COG0210	ATP-dependent DNA helicase Rep
CNBKHAJB_00279	CDS	252	ubiK			Ubiquinone biosynthesis accessory factor UbiK
CNBKHAJB_00280	CDS	1413	algC	5.4.2.2		Phosphomannomutase/phosphoglucomutase
CNBKHAJB_00281	CDS	222				hypothetical protein
CNBKHAJB_00282	CDS	486				hypothetical protein
CNBKHAJB_00283	CDS	396				hypothetical protein
CNBKHAJB_00284	CDS	336				hypothetical protein
CNBKHAJB_00285	CDS	2283	wecC	1.1.1.336		UDP-N-acetyl-D-mannosamine dehydrogenase
CNBKHAJB_00286	CDS	2745	bepA_1	3.4.-.-		Beta-barrel assembly-enhancing protease
CNBKHAJB_00287	CDS	2679	bepA_2	3.4.-.-		Beta-barrel assembly-enhancing protease
CNBKHAJB_00288	CDS	774				hypothetical protein
CNBKHAJB_00289	CDS	303	cc4			Cytochrome c4
CNBKHAJB_00290	CDS	312				hypothetical protein
CNBKHAJB_00291	CDS	480				hypothetical protein
CNBKHAJB_00292	CDS	2907				hypothetical protein
CNBKHAJB_00293	CDS	213				hypothetical protein
CNBKHAJB_00294	CDS	522				hypothetical protein
CNBKHAJB_00295	CDS	1203	queG	1.17.99.6		Epoxyqueuosine reductase
CNBKHAJB_00296	CDS	1575	nnr		COG0062	Bifunctional NAD(P)H-hydrate repair enzyme Nnr
CNBKHAJB_00297	CDS	489	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
CNBKHAJB_00298	CDS	1332	amiB	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiB
CNBKHAJB_00299	CDS	1959	mutL		COG0323	DNA mismatch repair protein MutL
CNBKHAJB_00300	CDS	951	miaA	2.5.1.75		tRNA dimethylallyltransferase
CNBKHAJB_00301	CDS	252	hfq		COG1923	RNA-binding protein Hfq
CNBKHAJB_00302	CDS	1287	hflX_1		COG2262	GTPase HflX
CNBKHAJB_00303	CDS	1149	hflK		COG0330	Modulator of FtsH protease HflK
CNBKHAJB_00304	CDS	888	hflC		COG0330	Modulator of FtsH protease HflC
CNBKHAJB_00305	CDS	600				hypothetical protein
CNBKHAJB_00306	CDS	1296	purA	6.3.4.4	COG0104	Adenylosuccinate synthetase
CNBKHAJB_00307	CDS	1242	maeB_1	1.1.1.40	COG0281	NADP-dependent malic enzyme
CNBKHAJB_00308	CDS	405				hypothetical protein
CNBKHAJB_00309	CDS	495				hypothetical protein
CNBKHAJB_00310	CDS	1428	sthA	1.6.1.1	COG1249	Soluble pyridine nucleotide transhydrogenase
CNBKHAJB_00311	CDS	633	fabR		COG1309	HTH-type transcriptional repressor FabR
CNBKHAJB_00312	CDS	1095	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
CNBKHAJB_00313	CDS	135				hypothetical protein
CNBKHAJB_00314	CDS	483				hypothetical protein
CNBKHAJB_00315	CDS	240				hypothetical protein
CNBKHAJB_00316	rRNA	1543				16S ribosomal RNA
CNBKHAJB_00317	tRNA	76				tRNA-Ala(tgc)
CNBKHAJB_00318	rRNA	2894				23S ribosomal RNA
CNBKHAJB_00319	rRNA	115				5S ribosomal RNA
CNBKHAJB_00320	rRNA	1545				16S ribosomal RNA
CNBKHAJB_00321	tRNA	76				tRNA-Ala(tgc)
CNBKHAJB_00322	rRNA	2894				23S ribosomal RNA
CNBKHAJB_00323	rRNA	115				5S ribosomal RNA
CNBKHAJB_00324	CDS	93				hypothetical protein
CNBKHAJB_00325	CDS	1086	dusA	1.3.1.-	COG0042	tRNA-dihydrouridine(20/20a) synthase
CNBKHAJB_00326	CDS	1068				hypothetical protein
CNBKHAJB_00327	CDS	168				hypothetical protein
CNBKHAJB_00328	CDS	660				hypothetical protein
CNBKHAJB_00329	CDS	135				hypothetical protein
CNBKHAJB_00330	CDS	249				hypothetical protein
CNBKHAJB_00331	CDS	1368				hypothetical protein
CNBKHAJB_00332	CDS	405				hypothetical protein
CNBKHAJB_00333	CDS	1362				hypothetical protein
CNBKHAJB_00334	CDS	228				hypothetical protein
CNBKHAJB_00335	CDS	255				hypothetical protein
CNBKHAJB_00336	CDS	345				hypothetical protein
CNBKHAJB_00337	CDS	1434				hypothetical protein
CNBKHAJB_00338	CDS	231				hypothetical protein
CNBKHAJB_00339	CDS	258				hypothetical protein
CNBKHAJB_00340	CDS	633				hypothetical protein
CNBKHAJB_00341	CDS	219				hypothetical protein
CNBKHAJB_00342	CDS	540				hypothetical protein
CNBKHAJB_00343	CDS	300				hypothetical protein
CNBKHAJB_00344	CDS	417				hypothetical protein
CNBKHAJB_00345	CDS	330				hypothetical protein
CNBKHAJB_00346	CDS	414				hypothetical protein
CNBKHAJB_00347	CDS	1029				IS110 family transposase ISCps1
CNBKHAJB_00348	CDS	618				hypothetical protein
CNBKHAJB_00349	CDS	456				hypothetical protein
CNBKHAJB_00350	CDS	519				hypothetical protein
CNBKHAJB_00351	CDS	135				hypothetical protein
CNBKHAJB_00352	CDS	618				hypothetical protein
CNBKHAJB_00353	CDS	132				hypothetical protein
CNBKHAJB_00354	CDS	957	gbuA_1	3.5.3.7		Guanidinobutyrase
CNBKHAJB_00355	CDS	189				hypothetical protein
CNBKHAJB_00356	CDS	1374				hypothetical protein
CNBKHAJB_00357	CDS	1422	ald_1	1.2.1.83		3-succinoylsemialdehyde-pyridine dehydrogenase
CNBKHAJB_00358	CDS	1404	potE			Putrescine transporter PotE
CNBKHAJB_00359	CDS	825				hypothetical protein
CNBKHAJB_00360	CDS	1398	puuB_2	1.4.3.-	COG0665	Gamma-glutamylputrescine oxidoreductase
CNBKHAJB_00361	CDS	924	ppaC	3.6.1.1	COG1227	Manganese-dependent inorganic pyrophosphatase
CNBKHAJB_00362	CDS	1161	fadA	2.3.1.16		3-ketoacyl-CoA thiolase
CNBKHAJB_00363	CDS	2169	fadB		COG1024	Fatty acid oxidation complex subunit alpha
CNBKHAJB_00364	CDS	2223				hypothetical protein
CNBKHAJB_00365	CDS	1008				hypothetical protein
CNBKHAJB_00366	CDS	381				hypothetical protein
CNBKHAJB_00367	CDS	1401	glnG			DNA-binding transcriptional regulator NtrC
CNBKHAJB_00368	CDS	1116	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
CNBKHAJB_00369	CDS	519				hypothetical protein
CNBKHAJB_00370	CDS	1407	glnA	6.3.1.2	COG0174	Glutamine synthetase
CNBKHAJB_00371	CDS	1119				hypothetical protein
CNBKHAJB_00372	CDS	1095				hypothetical protein
